id,Node,Name,Type,Capex,Fixed_OM,Var_OM,Heat_Rate,Fuel_Cost,WACC,Asset_Life,crf,annuity,Fixed_Cost,pmax,Var_Cost
5,5,umm_al_nar,gas,2.10E+09,25061094,80,10,11585923,,100,1,120,1000,2746,80
2,2,ruwais,gas,5.06E+09,32535616,80,10,15041448,,100,1,120,1000,3565,80
5,5,taweelah,gas,3.05E+09,58734976,80,10,22530528,,100,1,120,1000,5340,80
8,8,fujairah,gas,2.80E+09,26357043,80,10,14232138,,100,1,120,1000,2888,80
3,3,shams,solar,7.65E+08,100,48,10,0,,100,1,120,1000,100,48
5,5,al_dafra,solar,1.53E+10,100,48,10,0,,100,1,120,1000,8177,48
6,6,hatta,hydro,5.88E+08,100,12.44,10,0,,100,1,120,1000,250,12.44
1,1,barakah,nuclear,2.44E+10,100,22.73,10,1.67E+08,,100,1,120,1000,5600,22.73
